num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2024S018518;31/05/2024;17:55:00;CALL. VIA LUSITANA / CALL. FARO;1;11;CARABANCHEL;Alcance;Despejado;Motocicleta > 125cc;Pasajero;De 25 a 29 años;Mujer;14;Sin asistencia sanitaria;438408,138;4470274,673;N;NULL
2024S018518;31/05/2024;17:55:00;CALL. VIA LUSITANA / CALL. FARO;1;11;CARABANCHEL;Alcance;Despejado;Turismo;Conductor;De 50 a 54 años;Hombre;14;Sin asistencia sanitaria;438408,138;4470274,673;N;NULL
2024S018519;31/05/2024;16:50:00;CALL. SIERRA DE CUERDA LARGA / CALL. PUERTO DE NAVACERRADA;12;13;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Furgoneta;Conductor;De 25 a 29 años;Hombre;14;Sin asistencia sanitaria;444217,217;4472473,303;N;NULL
2024S018519;31/05/2024;16:50:00;CALL. SIERRA DE CUERDA LARGA / CALL. PUERTO DE NAVACERRADA;12;13;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 40 a 44 años;Mujer;14;Sin asistencia sanitaria;444217,217;4472473,303;N;NULL
2024S018519;31/05/2024;16:50:00;CALL. SIERRA DE CUERDA LARGA / CALL. PUERTO DE NAVACERRADA;12;13;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Turismo;Pasajero;De 45 a 49 años;Mujer;NULL;NULL;444217,217;4472473,303;N;NULL
2024S018520;31/05/2024;18:10:00;CALL. ENCOMIENDA DE PALACIOS / CALL. ARROYO FONTARRON;1;14;MORATALAZ;Caída;Despejado;Autobús;Conductor;De 45 a 49 años;Hombre;14;Sin asistencia sanitaria;445057,363;4472364,853;N;NULL
2024S018520;31/05/2024;18:10:00;CALL. ENCOMIENDA DE PALACIOS / CALL. ARROYO FONTARRON;1;14;MORATALAZ;Caída;Despejado;Autobús;Pasajero;De 60 a 64 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;445057,363;4472364,853;N;NULL
2024S018520;31/05/2024;18:10:00;CALL. ENCOMIENDA DE PALACIOS / CALL. ARROYO FONTARRON;1;14;MORATALAZ;Caída;Despejado;Furgoneta;Conductor;De 45 a 49 años;Hombre;14;Sin asistencia sanitaria;445057,363;4472364,853;N;NULL
2024S018521;31/05/2024;16:50:00;PLAZA. SAN JUAN DE LA CRUZ / PASEO. CASTELLANA;11;7;CHAMBERÍ;Colisión fronto-lateral;Despejado;Autobús articulado;Conductor;De 35 a 39 años;Hombre;14;Sin asistencia sanitaria;441304,808;4477004,099;N;NULL
2024S018521;31/05/2024;16:50:00;PLAZA. SAN JUAN DE LA CRUZ / PASEO. CASTELLANA;11;7;CHAMBERÍ;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 35 a 39 años;Mujer;14;Sin asistencia sanitaria;441304,808;4477004,099;N;NULL
