num_expediente,fecha,localizacion,numero,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
2024S009160,2024-06-03T16:55:00Z,CALL. DOCTOR ESQUERDO / AVDA. CIUDAD DE BARCELONA,184,3,RETIRO,Colisión lateral,Despejado,Autobús,Conductor,De 45 a 49 años,Hombre,0,Desconocido,442748.701,4472536.047,false,false
2024S009160,2024-06-03T16:55:00Z,CALL. DOCTOR ESQUERDO / AVDA. CIUDAD DE BARCELONA,184,3,RETIRO,Colisión lateral,Despejado,Turismo,Conductor,De 55 a 59 años,Mujer,0,Desconocido,442748.701,4472536.047,false,false
2023S040316,2024-07-03T14:25:00Z,CTRA. BARRIO DE LA FORTUNA / CALL. PINAR DE SAN JOSE,14,10,LATINA,Alcance,Lluvia débil,Furgoneta,Conductor,De 60 a 64 años,Hombre,0,Desconocido,433983.046,4468472.755,false,false
2023S040316,2024-07-03T14:25:00Z,CTRA. BARRIO DE LA FORTUNA / CALL. PINAR DE SAN JOSE,14,10,LATINA,Alcance,Lluvia débil,Turismo,Conductor,De 25 a 29 años,Hombre,0,Desconocido,433983.046,4468472.755,false,false
2024S008267,2024-07-03T06:50:00Z,PASEO. MELANCOLICOS 69,69,2,ARGANZUELA,Colisión fronto-lateral,Nublado,Motocicleta > 125cc,Conductor,De 45 a 49 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,438925.014,4472676.708,false,false
2024S008267,2024-07-03T06:50:00Z,PASEO. MELANCOLICOS 69,69,2,ARGANZUELA,Colisión fronto-lateral,Nublado,Turismo,Conductor,De 60 a 64 años,Hombre,14,Sin asistencia sanitaria,438925.014,4472676.708,false,false
2024S008268,2024-07-03T06:20:00Z,CALL. LEOPOLDO CALVO SOTELO 0,0,18,VILLA DE VALLECAS,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,De 18 a 20 años,Hombre,0,Desconocido,447786.406,4470923.756,false,false
2024S008271,2024-07-03T08:50:00Z,CALL. MANCHESTER / CALL. SOFIA,42,20,SAN BLAS-CANILLEJAS,Caída,Despejado,Motocicleta hasta 125cc,Conductor,De 30 a 34 años,Hombre,1,Atención en urgencias sin posterior ingreso,448941.669,4475658.274,false,false
2024S008272,2024-07-03T07:05:00Z,CALL. ANTONIO FLOREZ / AVDA. MANUEL FRAGA IRIBARNE,0,16,HORTALEZA,Choque contra obstáculo fijo,Se desconoce,Turismo,Conductor,De 45 a 49 años,Hombre,0,Desconocido,448521.662,4483587.175,false,false
2024S008273,2024-07-03T08:09:00Z,CALL. MARIA DE MOLINA 7,7,5,CHAMARTÍN,Alcance,Despejado,Turismo,Conductor,De 25 a 29 años,Hombre,14,Sin asistencia sanitaria,441576.512,4476592.293,false,false
2024S008273,2024-07-03T08:09:00Z,CALL. MARIA DE MOLINA 7,7,5,CHAMARTÍN,Alcance,Despejado,Turismo,Conductor,De 35 a 39 años,Hombre,6,Asistencia sanitaria inmediata en centro de salud o mutua,441576.512,4476592.293,false,false
2024S008274,2024-07-03T09:08:00Z,PLAZA. EMPERADOR CARLOS V / PASEO. PRADO,3,2,ARGANZUELA,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,De 55 a 59 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,441270.51,4473425.944,false,false
2024S008275,2024-07-03T08:20:00Z,AVDA. ARCENTALES / AUTOV. M-40,2,20,SAN BLAS-CANILLEJAS,Colisión fronto-lateral,Despejado,Camión rígido,Conductor,De 30 a 34 años,Hombre,0,Desconocido,449434.822,4475658.292,false,false
2024S008275,2024-07-03T08:20:00Z,AVDA. ARCENTALES / AUTOV. M-40,2,20,SAN BLAS-CANILLEJAS,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 40 a 44 años,Mujer,0,Desconocido,449434.822,4475658.292,false,false
2024S008276,2024-07-03T09:40:00Z,CALL. ROMA 14,14,4,SALAMANCA,Choque contra obstáculo fijo,Se desconoce,Furgoneta,Conductor,De 30 a 34 años,Hombre,0,Desconocido,443480.857,4475812.553,false,false
2024S008277,2024-07-03T08:42:00Z,CALL. PRINCIPE DE VERGARA 86,86,4,SALAMANCA,Alcance,Despejado,Turismo,Conductor,De 65 a 69 años,Mujer,14,Sin asistencia sanitaria,442393.741,4476350.776,false,false
2024S008277,2024-07-03T08:42:00Z,CALL. PRINCIPE DE VERGARA 86,86,4,SALAMANCA,Alcance,Despejado,VMU eléctrico,Conductor,De 30 a 34 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,442393.741,4476350.776,false,false
2024S008278,2024-07-03T09:30:00Z,CALL. NUESTRA SEÑORA DE LUJAN 1,1,5,CHAMARTÍN,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 45 a 49 años,Mujer,14,Sin asistencia sanitaria,442238.846,4478929.289,false,false
2024S008278,2024-07-03T09:30:00Z,CALL. NUESTRA SEÑORA DE LUJAN 1,1,5,CHAMARTÍN,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 60 a 64 años,Hombre,14,Sin asistencia sanitaria,442238.846,4478929.289,false,false
2024S008279,2024-07-03T09:45:00Z,CTRA. VILLAVERDE A VALLECAS / CALL. GONZALEZ DAVILA,265,18,VILLA DE VALLECAS,Colisión lateral,Despejado,Camión rígido,Conductor,De 55 a 59 años,Hombre,0,Desconocido,445816.329,4469355.121,false,false
2024S008279,2024-07-03T09:45:00Z,CTRA. VILLAVERDE A VALLECAS / CALL. GONZALEZ DAVILA,265,18,VILLA DE VALLECAS,Colisión lateral,Despejado,Turismo,Conductor,De 70 a 74 años,Hombre,0,Desconocido,445816.329,4469355.121,false,false
2024S008281,2024-07-03T09:59:00Z,CALL. INFANTAS / CALL. MARQUES DE VALDEIGLESIAS,44,1,CENTRO,Colisión lateral,Se desconoce,Camión rígido,Conductor,Desconocido,Desconocido,0,Desconocido,440860.909,4474610.781,false,false
2024S008281,2024-07-03T09:59:00Z,CALL. INFANTAS / CALL. MARQUES DE VALDEIGLESIAS,44,1,CENTRO,Colisión lateral,Se desconoce,Motocicleta hasta 125cc,Conductor,Desconocido,Desconocido,0,Desconocido,440860.909,4474610.781,false,false
2024S008282,2024-07-03T11:10:00Z,CALL. PIO BAROJA / PLAZA. DOCTOR LAGUNA,4,3,RETIRO,Caída,Nublado,Motocicleta hasta 125cc,Conductor,De 35 a 39 años,Hombre,1,Atención en urgencias sin posterior ingreso,442806.971,4474032.562,false,false
2024S008283,2024-07-03T09:08:00Z,PASEO. PRADO / PLAZA. EMPERADOR CARLOS V,48,1,CENTRO,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,De 55 a 59 años,Hombre,0,Desconocido,441272.672,4473424.266,false,false
2024S008284,2024-07-03T12:45:00Z,CALL. AGUSTIN DE FOXA 31,31,5,CHAMARTÍN,Alcance,Nublado,Turismo,Conductor,De 35 a 39 años,Hombre,0,Desconocido,442096.06,4480352.602,false,false
2024S008284,2024-07-03T12:45:00Z,CALL. AGUSTIN DE FOXA 31,31,5,CHAMARTÍN,Alcance,Nublado,Turismo,Conductor,De 45 a 49 años,Hombre,0,Desconocido,442096.06,4480352.602,false,false
2024S008285,2024-07-03T10:00:00Z,AUTOV. M-30 / PASEO. SANTA MARIA DE LA CABEZA,14RH00,2,ARGANZUELA,Alcance,Despejado,Turismo,Conductor,De 25 a 29 años,Hombre,7,Asistencia sanitaria sólo en el lugar del accidente,440293.524,4472009.211,false,false
2024S008285,2024-07-03T10:00:00Z,AUTOV. M-30 / PASEO. SANTA MARIA DE LA CABEZA,14RH00,2,ARGANZUELA,Alcance,Despejado,Turismo,Conductor,Desconocido,Desconocido,0,Desconocido,440293.524,4472009.211,false,false
2024S008287,2024-07-03T10:40:00Z,CALL. LEONESES 19,19,13,PUENTE DE VALLECAS,Colisión fronto-lateral,Despejado,Bicicleta,Conductor,De 35 a 39 años,Hombre,2,Ingreso inferior o igual a 24 horas,445060.942,4470284.443,false,false
2024S008287,2024-07-03T10:40:00Z,CALL. LEONESES 19,19,13,PUENTE DE VALLECAS,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 40 a 44 años,Hombre,14,Sin asistencia sanitaria,445060.942,4470284.443,false,false
2024S008288,2024-07-03T12:10:00Z,CALL. CASTRO DE ORO 59,59,11,CARABANCHEL,Colisión fronto-lateral,Despejado,Sin especificar,Conductor,Desconocido,Desconocido,0,Desconocido,438254.701,4471110.273,false,false
2024S008288,2024-07-03T12:10:00Z,CALL. CASTRO DE ORO 59,59,11,CARABANCHEL,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 35 a 39 años,Hombre,0,Desconocido,438254.701,4471110.273,false,false
2024S008291,2024-07-03T09:45:00Z,CALL. SOR ANGELA DE LA CRUZ 17,17,6,TETUÁN,Colisión lateral,Se desconoce,Furgoneta,Conductor,De 45 a 49 años,Hombre,0,Desconocido,440990.529,4479019.807,false,false
2024S008291,2024-07-03T09:45:00Z,CALL. SOR ANGELA DE LA CRUZ 17,17,6,TETUÁN,Colisión lateral,Se desconoce,Turismo,Conductor,De 70 a 74 años,Hombre,0,Desconocido,440990.529,4479019.807,false,false
2024S008292,2024-07-03T13:15:00Z,AVDA. DAROCA 91,91,15,CIUDAD LINEAL,Caída,Nublado,Motocicleta hasta 125cc,Conductor,De 65 a 69 años,Hombre,14,Sin asistencia sanitaria,445282.615,4475270.272,false,false
2024S008293,2024-07-03T13:45:00Z,PASEO. LA HABANA / CALL. MENENDEZ PIDAL,187A,5,CHAMARTÍN,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,Más de 74 años,Mujer,2,Ingreso inferior o igual a 24 horas,442433.751,4479812.643,false,false
2024S008294,2024-07-03T12:10:00Z,CALL. PUERTO DE BERMEO 10,10,8,FUENCARRAL-EL PARDO,Otro,Despejado,Camión rígido,Conductor,De 40 a 44 años,Hombre,0,Desconocido,439728.195,4482552.143,false,false
2024S008295,2024-07-03T09:40:00Z,CALL. GENERAL RICARDOS 8,8,11,CARABANCHEL,Solo salida de la vía,Despejado,Turismo,Conductor,De 40 a 44 años,Hombre,14,Sin asistencia sanitaria,439147.059,4472075.627,false,false
2024S008295,2024-07-03T09:40:00Z,CALL. GENERAL RICARDOS 8,8,11,CARABANCHEL,Solo salida de la vía,Despejado,Turismo,Conductor,De 55 a 59 años,Hombre,14,Sin asistencia sanitaria,439147.059,4472075.627,false,false
2024S008295,2024-07-03T09:40:00Z,CALL. GENERAL RICARDOS 8,8,11,CARABANCHEL,Solo salida de la vía,Despejado,Turismo,Peatón,Más de 74 años,Hombre,14,Sin asistencia sanitaria,439147.059,4472075.627,false,false
